epoch,acc,loss,lr,val_acc,val_loss
0,0.8564297556877136,0.9098100662231445,1e-04,0.9824322462081909,0.9671180248260498
1,0.972510576248169,0.8265191912651062,1e-04,0.921723484992981,0.9463856220245361
2,0.9843980073928833,0.7448445558547974,1e-04,0.9469084143638611,0.9168502688407898
3,0.9899589419364929,0.628685474395752,1e-04,0.8888976573944092,0.883856475353241
4,0.99246746301651,0.5069445371627808,1e-04,0.96796053647995,0.6922543048858643
5,0.9942916631698608,0.37581944465637207,1e-04,0.970085620880127,0.5760186910629272
6,0.9948021769523621,0.2936098575592041,1e-04,0.9879208207130432,0.39249929785728455
7,0.9953357577323914,0.24068021774291992,1e-04,0.9905815124511719,0.3029220402240753
8,0.9956887364387512,0.19758838415145874,1e-04,0.9921870827674866,0.2543092966079712
9,0.9959275722503662,0.16820301115512848,1e-04,0.9929795861244202,0.2240462750196457
10,0.9960949420928955,0.14655102789402008,1e-04,0.9934974908828735,0.22311513125896454
11,0.9962224960327148,0.13141493499279022,1e-04,0.9937428832054138,0.2015216201543808
12,0.9967180490493774,0.11177843064069748,1e-04,0.9936271905899048,0.19570568203926086
13,0.9968441128730774,0.10236865282058716,1e-04,0.9936521649360657,0.19367364048957825
14,0.9969574809074402,0.09451106190681458,1e-04,0.9934209585189819,0.186153382062912
15,0.9971056580543518,0.08824793249368668,1e-04,0.9935621023178101,0.17902088165283203
16,0.9971561431884766,0.08363054692745209,1e-04,0.9937359094619751,0.17634229362010956
17,0.9972504377365112,0.07849688827991486,1e-04,0.9935781359672546,0.17912529408931732
18,0.9973683953285217,0.07318305969238281,1e-04,0.993507444858551,0.19262903928756714
19,0.9973030090332031,0.07300849258899689,1e-04,0.9937394857406616,0.1789007931947708
20,0.9973316788673401,0.0717172846198082,1e-04,0.9935300946235657,0.1886531412601471
21,0.9972810745239258,0.07171992212533951,1e-04,0.9935268759727478,0.18946081399917603
22,0.9974810481071472,0.06480443477630615,1e-04,0.9937184453010559,0.17776978015899658
23,0.9976004958152771,0.059798553586006165,1e-04,0.9939631819725037,0.16630573570728302
24,0.9977544546127319,0.05478842929005623,1e-04,0.9936376810073853,0.1683179885149002
25,0.9977824091911316,0.05345965176820755,1e-04,0.9938410520553589,0.16746993362903595
26,0.9978098273277283,0.05156591907143593,1e-04,0.9936351776123047,0.17883190512657166
27,0.9977971315383911,0.05194615200161934,1e-04,0.993489682674408,0.1897796243429184
28,0.9978107810020447,0.05167302489280701,1e-04,0.9937215447425842,0.17747972905635834
29,0.9978262186050415,0.0509842187166214,1e-04,0.9935898184776306,0.17320790886878967
30,0.9977489709854126,0.053251419216394424,1e-04,0.9937901496887207,0.17492245137691498
31,0.9975887537002563,0.05538668483495712,1e-04,0.993299126625061,0.19974930584430695
32,0.9977315664291382,0.051522135734558105,1e-04,0.993715763092041,0.17738528549671173
33,0.9979376196861267,0.045735109597444534,1e-04,0.9938175082206726,0.1721699833869934
34,0.9979378581047058,0.046805597841739655,1e-05,0.9939898252487183,0.16517092287540436
35,0.9980467557907104,0.04338844120502472,1e-05,0.994009792804718,0.16428649425506592
36,0.9981287121772766,0.040859516710042953,1e-05,0.9940245151519775,0.164029061794281
37,0.9981977343559265,0.038768284022808075,1e-05,0.9940253496170044,0.16428644955158234
38,0.9982538819313049,0.0370233878493309,1e-05,0.9940251111984253,0.1645737588405609
39,0.9983043670654297,0.03547712415456772,1e-05,0.994025707244873,0.164765402674675
40,0.9983479976654053,0.03411080688238144,1e-05,0.9940281510353088,0.16503368318080902
41,0.9983857870101929,0.032913122326135635,1e-05,0.9940227270126343,0.16538038849830627
42,0.9984195828437805,0.03182262182235718,1e-05,0.9940250515937805,0.1652580201625824
43,0.9984499216079712,0.030824411660432816,1e-05,0.994023323059082,0.16538967192173004
44,0.9984772801399231,0.029929442331194878,1e-05,0.9940141439437866,0.16585904359817505
45,0.9985023140907288,0.02910783514380455,1e-05,0.9940089583396912,0.16631746292114258
46,0.9985247254371643,0.02834242954850197,1e-05,0.9940069913864136,0.16638357937335968
47,0.9985008239746094,0.028864214196801186,1e-06,0.9939994215965271,0.16828228533267975
48,0.9985262155532837,0.028243184089660645,1e-06,0.9939988255500793,0.1682949960231781
49,0.9985366463661194,0.027891790494322777,1e-06,0.993999183177948,0.16829600930213928
50,0.9985437989234924,0.027659520506858826,1e-06,0.9940013885498047,0.16828922927379608
51,0.9985499978065491,0.027474327012896538,1e-06,0.9940025806427002,0.1682855188846588
52,0.9985545873641968,0.027314823120832443,1e-06,0.994002103805542,0.16825290024280548
53,0.9985590577125549,0.027170034125447273,1e-06,0.9940000772476196,0.16824080049991608
54,0.9985634088516235,0.027035534381866455,1e-06,0.9939996004104614,0.16824963688850403
55,0.9985669255256653,0.026908619329333305,1e-06,0.9939982295036316,0.16824612021446228
56,0.9985710978507996,0.026787621900439262,1e-06,0.9939976334571838,0.1682630330324173
